dataset,freq_low,freq_high,CSI-M,CSI-24,CSI-32,CSI-pool-4x4,CSI-pool-16x16,HSS,MSE,MAE,RMSE,PSNR,SSIM,CRPS,LPIPS,source_file
shanghai,1.09,0.14,0.4064064229680607,0.3965017185517882,0.22161744497729763,0.48889540042174334,0.6128755789169672,0.5463074119601803,11.804243,1.1113664,3.1915765,29.726398036115143,0.8379907757154662,0.012348516160646972,0.1515959,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow1.09_fhigh0.14/logs/log.log
shanghai,1.09,0.42,0.40761433518496765,0.3967226788505517,0.22001123875044457,0.4864164061605327,0.6027625725446313,0.5469856430384697,11.665644,1.1056426,3.161601,29.8438647833113,0.8391179108094532,0.012284918638086088,0.15505664,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow1.09_fhigh0.42/logs/log.log
shanghai,1.09,1.12,0.4097458802249414,0.4013760979531605,0.22323839037022827,0.4951983991681799,0.6213806313566791,0.5501046856845658,12.062156,1.129463,3.2254214,29.636219070023333,0.8369975432361217,0.012549590670196082,0.15189971,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow1.09_fhigh1.12/logs/log.log
shanghai,1.09,2.25,0.403073626964171,0.39275380110787794,0.21092194302910655,0.4822218533826468,0.6024838514820771,0.5416347899144583,11.624,1.1050665,3.1635258,29.813522461698568,0.8383877341088845,0.012278516523993125,0.15115209,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow1.09_fhigh2.25/logs/log.log
shanghai,1.09,4.41,0.40608548259229776,0.3940646583846242,0.22178857841117497,0.4781876481952574,0.590264566723836,0.5457369927035063,11.516165,1.0931491,3.1407304,29.904590517121097,0.8392863602405601,0.012146100166422086,0.15185516,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow1.09_fhigh4.41/logs/log.log
shanghai,3.28,0.14,0.4066291762441971,0.39777584647927744,0.22062669225732878,0.49040703502464367,0.6164397976233501,0.5466004204506212,12.011873,1.1276525,3.2170837,29.66257261460858,0.836801215770317,0.01252947315303617,0.15073399,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow3.28_fhigh0.14/logs/log.log
shanghai,3.28,0.42,0.40547548830143715,0.39432301334972475,0.21777321226652915,0.4819049733560402,0.5966508579530505,0.5449093294449139,11.552674,1.1002119,3.1519818,29.8518008526406,0.8385727747266642,0.012224577608150721,0.15400906,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow3.28_fhigh0.42/logs/log.log
shanghai,3.28,1.12,0.40731405910701524,0.39706364997343896,0.21741192071868126,0.48558421704500776,0.6031601239334669,0.5467664414528678,11.657523,1.1080863,3.163636,29.82777159486735,0.8386786928946629,0.01231207082401511,0.15308791,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow3.28_fhigh1.12/logs/log.log
shanghai,3.28,2.25,0.40935892351432457,0.4005801715927409,0.22289271644115413,0.49008484139538677,0.6125075177654542,0.5493674720699838,11.819975,1.111813,3.1878219,29.757185619758577,0.8382480364649038,0.012353477762359686,0.15250465,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow3.28_fhigh2.25/logs/log.log
shanghai,3.28,4.41,0.40046022803573983,0.38821197719620004,0.2106137496211032,0.4791643880089769,0.5975656240557692,0.5387777677469424,11.715399,1.1079605,3.1752312,29.783701626935816,0.8379691315195297,0.012310670802878907,0.15063027,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow3.28_fhigh4.41/logs/log.log
shanghai,8.74,0.14,0.4070971593038259,0.3984734385737596,0.21960714775478157,0.4904032481311606,0.6150535034638301,0.546909137982508,11.996711,1.1222584,3.211927,29.68696744069941,0.8376041064113672,0.012469539073079721,0.15188114,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow8.74_fhigh0.14/logs/log.log
shanghai,8.74,0.42,0.40409968054488893,0.3934237047647663,0.21562481544105308,0.48529888675810345,0.6060722734064757,0.5432731663960237,11.741336,1.1144865,3.1801698,29.76912472438253,0.8380866671842547,0.012383183857241681,0.15375097,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow8.74_fhigh0.42/logs/log.log
shanghai,8.74,1.12,0.40757019021407676,0.39820370129769256,0.2195544639696553,0.4887816068326705,0.6096298149748138,0.5470930553760377,11.820572,1.1163307,3.1852596,29.76979835851521,0.8380756692515483,0.012403675080320423,0.15220901,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow8.74_fhigh1.12/logs/log.log
shanghai,8.74,2.25,0.40790503814602996,0.39812268965283265,0.22248853534429328,0.48690619615553565,0.6074480472384326,0.5475831302132099,11.753878,1.1045016,3.1762128,29.798581914360273,0.8390923643940438,0.012272239521107075,0.15301064,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow8.74_fhigh2.25/logs/log.log
shanghai,8.74,4.41,0.4068549008448627,0.39773074534941444,0.21750981733446842,0.4889766690407851,0.6092396105558882,0.546637264605202,11.867556,1.1146976,3.194213,29.735805976423357,0.8384172015714777,0.012385525497095427,0.15284716,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow8.74_fhigh4.41/logs/log.log
shanghai,17.49,0.14,0.40900381872145364,0.399649867635197,0.22309995029007532,0.4869031220747412,0.604463084904251,0.548942606487464,11.687825,1.1021461,3.165992,29.825069536364747,0.8391818202847405,0.012246065490675879,0.15271594,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow17.49_fhigh0.14/logs/log.log
shanghai,17.49,0.42,0.40267702065259897,0.3902890156362613,0.21563225490757604,0.48053573637372166,0.5996665733580268,0.5415215706317948,11.52551,1.0932419,3.1484017,29.85968781115104,0.8394592042038476,0.01214713060098753,0.15278383,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow17.49_fhigh0.42/logs/log.log
shanghai,17.49,1.12,0.4089952488615448,0.3995381806491718,0.22051080201909165,0.4875813552340238,0.6041171090374866,0.5490220869518375,11.625814,1.1050149,3.1637316,29.81271723572051,0.8386536116552893,0.012277941550237401,0.153261,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow17.49_fhigh1.12/logs/log.log
shanghai,17.49,2.25,0.406774452546863,0.3976673322576728,0.2170806618757289,0.48485662309347183,0.6022860796755795,0.5460173798326552,11.637505,1.1021575,3.1624768,29.827444061575097,0.8390947343136996,0.012246195660015165,0.15191914,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow17.49_fhigh2.25/logs/log.log
shanghai,17.49,4.41,0.4055413156180686,0.39546028579416115,0.2162085782003133,0.48417523466217394,0.6007146066431194,0.5451559445432916,11.648517,1.1071129,3.1668522,29.802995918847607,0.8386551738732537,0.01230125571829263,0.15228865,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow17.49_fhigh4.41/logs/log.log
shanghai,34.34,0.14,0.4021259134015857,0.3903973963033707,0.21549541161981328,0.47572572946045244,0.5917864076260738,0.5400704510942242,11.3967905,1.0879935,3.127708,29.93213978018655,0.8393849644342113,0.01208881824944948,0.15357082,Exps/gabor_exp_meteo/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_meteo_lr_latent_32_Meteonet_flow34.34_fhigh0.14/logs/log.log
