dataset,freq_low,freq_high,CSI-M,CSI-35,CSI-40,CSI-pool-4x4,CSI-pool-16x16,HSS,MSE,MAE,RMSE,PSNR,SSIM,CRPS,LPIPS,freq_source,source_file
cikm,22.74,3.04,0.3278002011938786,0.226042134986803,0.14463287673603945,0.3684338395286293,0.43024973584785314,0.4201026202326875,36.92755,3.213323,5.7193575,23.50180954044567,0.6421660469403345,0.04016655323037337,0.36261806,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow22.74_fhigh3.04/logs/log.log
cikm,22.74,9.13,0.3291106972476087,0.228813180726882,0.15617600936021672,0.36776034614287745,0.42183714712835735,0.42457296439093245,36.12754,3.410146,5.692937,23.476891803314764,0.5665870458058908,0.04262682853095066,0.3680261,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow22.74_fhigh9.13/logs/log.log
cikm,22.74,24.34,0.3267221856801575,0.22258005245370477,0.1486282508047418,0.3607944948959969,0.42691733496736206,0.4187483541776923,37.14968,3.1299968,5.737446,23.502538135067304,0.6479652356469967,0.03912496444210059,0.3070368,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow22.74_fhigh24.34/logs/log.log
cikm,22.74,48.67,0.33238223497750496,0.23599072481602684,0.1531070534360241,0.38401287985806315,0.46549672137121567,0.4301598117017996,38.151527,3.400266,5.841371,23.264954424681264,0.6040532806917247,0.042503314884283425,0.36108103,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow22.74_fhigh48.67/logs/log.log
cikm,22.74,95.56,0.3410785509255336,0.24238265416200738,0.15493051190815482,0.3737011830017871,0.42823884829537884,0.43853727429071726,34.12861,3.1746402,5.5123644,23.81422013507094,0.6086502370099072,0.039682992373919666,0.35958183,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow22.74_fhigh95.56/logs/log.log
cikm,68.23,3.04,0.30607841141678205,0.19495468218841383,0.12188184801432063,0.33007959616913396,0.38546138555066833,0.38975442919768266,35.449276,3.1402051,5.603025,23.726988907240248,0.6192693179322146,0.03925256923376379,0.33118945,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow68.23_fhigh3.04/logs/log.log
cikm,68.23,9.13,0.31328917753717905,0.2110092405503154,0.15302045488354382,0.380041734231147,0.47854335728730557,0.4094980208651891,41.452324,3.7215667,6.177643,22.63344176218624,0.5800250636662522,0.04651960965993705,0.3543586,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow68.23_fhigh9.13/logs/log.log
cikm,68.23,24.34,0.3149696283012447,0.210589765384647,0.12717204011713903,0.34059556196260526,0.39837960848098586,0.40319252041535897,36.134243,3.0214772,5.655772,23.648806711751337,0.6618531888189988,0.03776847555114342,0.29909995,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow68.23_fhigh24.34/logs/log.log
cikm,68.23,48.67,0.3232041387310423,0.22085855695296908,0.11920559582003717,0.3506555883672035,0.3942695576087236,0.41351436252891655,33.898262,3.0277708,5.480226,23.902998135878114,0.6516117397854558,0.03784714041077751,0.35912058,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow68.23_fhigh48.67/logs/log.log
cikm,68.23,95.56,0.321826983949906,0.2247683758784756,0.14143744516302173,0.3459866302917399,0.39946731805043534,0.4148513686184325,34.664318,3.035085,5.540775,23.82327624522553,0.6439366072823971,0.03793857227151639,0.3341312,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow68.23_fhigh95.56/logs/log.log
cikm,181.94,3.04,0.33582352926899606,0.23627884080034312,0.1450668247356316,0.378970034714154,0.4426072922307388,0.43007877013856505,37.34205,3.4551864,5.7647085,23.42100728135955,0.56103009140364,0.043189818590718326,0.35274798,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow181.94_fhigh3.04/logs/log.log
cikm,181.94,9.13,0.337402308718384,0.24189222821610135,0.16457429674856303,0.384360167227566,0.462082783008236,0.43560520170142164,39.137207,3.3627892,5.8983626,23.22639971635352,0.6280685536651401,0.0420348768275208,0.35720807,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow181.94_fhigh9.13/logs/log.log
cikm,181.94,24.34,0.332139154831902,0.235205362559029,0.15535689070101397,0.3598617284625134,0.4210129429486543,0.42708379802280616,36.40739,3.190426,5.6566877,23.6761707432087,0.6073468266406578,0.03988031060009845,0.33190185,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow181.94_fhigh24.34/logs/log.log
cikm,181.94,48.67,0.3239428082329486,0.22078740785519219,0.14281924895531123,0.3512654133674936,0.4062043327390377,0.4152182667975004,35.122627,3.1006258,5.5679545,23.79558734938496,0.6260475862017133,0.03875780631402401,0.33311146,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow181.94_fhigh48.67/logs/log.log
cikm,181.94,95.56,0.3183714007201379,0.2133962943309724,0.14209751228571185,0.35347681252340374,0.41875026702919504,0.4089921889469005,36.2095,3.1956747,5.6842265,23.5465353294063,0.6147587593155095,0.03994593760892125,0.32078126,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow181.94_fhigh95.56/logs/log.log
cikm,363.89,3.04,0.32780996182379335,0.2289279425995121,0.16447848661622988,0.37864001836251293,0.4696526092843659,0.4247278873543456,40.442818,3.3426604,6.0283995,22.988277309029222,0.6433011793283762,0.04178325367123735,0.32547674,log_line,Exps/gabor_exp_cikm_pixel/CIKM_pixel_flow363.89_fhigh3.04/logs/log.log
