dataset,freq_low,freq_high,CSI-M,CSI-35,CSI-40,CSI-pool-4x4,CSI-pool-16x16,HSS,MSE,MAE,RMSE,PSNR,SSIM,CRPS,LPIPS,source_file
cikm,22.74,3.04,0.3266005084329429,0.22680573594516065,0.14557178328636042,0.34487900849735403,0.39098309203843734,0.41957708525037535,38.807564,3.2427354,5.8553214,23.354662168444776,0.6611549510503305,0.04053418297860989,0.3688699,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow22.74_fhigh3.04/logs/log.log
cikm,22.74,9.13,0.3274695684414787,0.22672334679992873,0.1497013292184696,0.3444016579287426,0.39176420898839626,0.42178084932759474,38.85047,3.2727914,5.8575034,23.35001728048336,0.6571028571373732,0.04090988479541212,0.37147197,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow22.74_fhigh9.13/logs/log.log
cikm,22.74,24.34,0.3275779479464643,0.22624477439668636,0.14887274148534244,0.34564194779395685,0.3936343782627946,0.42112764305467865,38.824226,3.24151,5.849605,23.370525238882827,0.6609944087177904,0.04051888124012321,0.371694,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow22.74_fhigh24.34/logs/log.log
cikm,22.74,48.67,0.33616408858927593,0.24064947377816934,0.16094884848184726,0.35603107515214494,0.40762071896164487,0.4339983721714437,37.957397,3.159281,5.779703,23.480221936378246,0.6668537694383596,0.039491017720602026,0.37011436,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow22.74_fhigh48.67/logs/log.log
cikm,22.74,95.56,0.32691035679565483,0.23114311129419507,0.15805795122228902,0.34943453388817547,0.40658390611692174,0.4228136898435456,37.546745,3.019967,5.764038,23.482948424046292,0.6744471454324357,0.037749578518881124,0.31814772,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow22.74_fhigh95.56/logs/log.log
cikm,68.23,3.04,0.33105140072419553,0.23186293459170115,0.1488140014307716,0.3508681776971994,0.3973787656670531,0.42537680145504486,38.125954,3.2203832,5.804244,23.43081628189614,0.6617297900873824,0.04025481253684784,0.3716502,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow68.23_fhigh3.04/logs/log.log
cikm,68.23,9.13,0.32955101584506374,0.22864363405566887,0.15225359625071808,0.3506460467025855,0.4019935901055204,0.423508012036526,39.563946,3.3007457,5.899511,23.306947421677695,0.6564003838122179,0.04125932040445908,0.37281078,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow68.23_fhigh9.13/logs/log.log
cikm,68.23,24.34,0.3242532006163296,0.22529620639097706,0.14342007076668462,0.3459773127863824,0.4004654440314213,0.41752362939535165,37.81161,3.01604,5.7769594,23.477223395076617,0.6745272253762173,0.03770050968999396,0.31255192,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow68.23_fhigh24.34/logs/log.log
cikm,68.23,48.67,0.32353911034614397,0.227509898197715,0.14926091559660312,0.3451732390116796,0.40090966926473337,0.41840440717428873,38.058826,3.0079823,5.7932878,23.460128150148826,0.6769486116464705,0.037599775841327995,0.31091717,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow68.23_fhigh48.67/logs/log.log
cikm,68.23,95.56,0.32918150305431637,0.23029997044664446,0.15266761596994247,0.34705798797284065,0.3944999913379744,0.4246445232043961,37.023064,3.154946,5.7294207,23.521639323399942,0.6657096420527278,0.03943684523766462,0.37045768,Exps/gabor_exp_cikm/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_expgabor_final_cikm_latent_32_CIKM_flow68.23_fhigh95.56/logs/log.log
