dataset,freq_low,freq_high,CSI-M,CSI-35,CSI-40,CSI-pool-4x4,CSI-pool-16x16,HSS,MSE,MAE,RMSE,PSNR,SSIM,CRPS,LPIPS,source_file
shanghai,1.09,0.14,0.4359387592306744,0.3990863260975442,0.27783341919783966,0.4997311709154327,0.5649924960681132,0.5782912337585632,29.639791,1.7143438,5.042472,25.766231933937387,0.8121104092006408,0.01904826339023282,0.23251255,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow1.09_fhigh0.14/logs/log.log
shanghai,1.09,0.42,0.43351056942905236,0.396498330388624,0.2744508227917124,0.49654049711150505,0.5568747983631336,0.5757833403937964,29.76209,1.7225521,5.050656,25.751205950194514,0.811246076042966,0.01913947233827936,0.23524609,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow1.09_fhigh0.42/logs/log.log
shanghai,1.09,1.13,0.4347281364314717,0.3977187990207625,0.275816174641898,0.49690781424828595,0.5574514219793802,0.5770634509441995,29.160376,1.6982892,5.007509,25.808912805371897,0.8126389073126576,0.018869875497079903,0.23329613,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow1.09_fhigh1.13/logs/log.log
shanghai,1.09,2.25,0.43295965656084967,0.39501435759259756,0.27299313658855795,0.5017319875050738,0.5685930925565938,0.5751276037286697,30.249691,1.741675,5.099989,25.64948716420514,0.8113812052556051,0.019351941897052326,0.23773429,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow1.09_fhigh2.25/logs/log.log
shanghai,1.09,4.43,0.43128614677376875,0.39419131652306094,0.271827410781584,0.49531617480789536,0.5569413478005693,0.5732971335379261,30.03033,1.727586,5.076457,25.70220354415141,0.8117748609276928,0.019195397934509077,0.23720793,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow1.09_fhigh4.43/logs/log.log
shanghai,3.28,0.14,0.43413843975628186,0.39775153136109065,0.2758921000846192,0.49489831311102894,0.5540795756652993,0.5765689868544582,29.46867,1.7083862,5.030094,25.781278544808508,0.8119162211539953,0.018982069710468032,0.23600242,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow3.28_fhigh0.14/logs/log.log
shanghai,3.28,0.42,0.43418552997205856,0.39721194293076845,0.2743840796425497,0.4991287552488899,0.5624287623415121,0.5763703545059006,29.947483,1.7278244,5.064482,25.728722633370417,0.8115963546232614,0.019198049192592086,0.23527727,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow3.28_fhigh0.42/logs/log.log
shanghai,3.28,1.13,0.4338916661811467,0.3965449234114094,0.27358648772137484,0.5000446406898172,0.5638933230830973,0.5761645758369593,29.895987,1.7268251,5.067105,25.71391069757845,0.8119175425871029,0.019186947028337384,0.23707756,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow3.28_fhigh1.13/logs/log.log
shanghai,3.28,2.25,0.4310501910260104,0.3928339860759382,0.27150995107305415,0.5012048367388093,0.5685373794214303,0.5731909135758424,30.518326,1.7530283,5.1229916,25.609984526995806,0.8107044986665912,0.01947809052839085,0.23851971,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow3.28_fhigh2.25/logs/log.log
shanghai,3.28,4.43,0.43056112669119506,0.39206584703211583,0.26922083814717496,0.5047499659641996,0.5755004717703953,0.5723043164047565,31.303701,1.785614,5.1781173,25.533022120368955,0.809947106365758,0.01984015843184576,0.23731919,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_Shanghai_flow3.28_fhigh4.43/logs/log.log
