dataset,config_id,status,param_count,param_pct_of_baseline,backbone,num_blocks,hidden_size_factor,level,wave,k_spatial,hidden_dim,hf_mode,T_in,T_out,epochs,weight_scale_low,alpha_low,beta_low,freq_multiplier_low,weight_scale_high,alpha_high,beta_high,freq_multiplier_high,gabor_source_run,best_val_csi,best_val_epoch,test_csi,test_csi4,test_csi16,test_hss,test_mse,test_mae,test_rmse,test_psnr,test_ssim,test_crps,test_lpips,checkpoint_path,log_path,notes
meteo,MET-B0,baseline,59466369,100.0,DAWNCast,4,4,1,db6,3,64,separate,5,20,50,0.1,1.0,0.0995,1.09,1.0,1.0,0.1643,1.12,Exps/Gabor_sweep_runs/Meteonet_pixel_flow1.09_fhigh1.12,0.45303805483201254,20,0.4528938892759552,0.515873583423624,0.6132119523850351,0.5889784257863682,9.310624,1.0579937,2.7725017,31.30054659457622,0.8418883646584534,0.011755483652141772,0.16008158,/home/vatsal/NWM/Baselines_Precipitation_Nowcasting/Exps/Gabor_sweep_runs/Meteonet_pixel_flow1.09_fhigh1.12/checkpoints/ckpt-best.pt,/home/vatsal/NWM/Baselines_Precipitation_Nowcasting/Exps/Gabor_sweep_runs/Meteonet_pixel_flow1.09_fhigh1.12/logs/log.log,Gabor sweep best run; parameter-budget reference. Peaks val CSI @ epoch 20/50 then overfits (train loss 0.035 by e46).
cikm,CIKM-B0,baseline,15318149,100.0,DAWNCast_old,1,1,2,db4,7,64,separate,5,10,50,0.1,1.0,43.1034,22.74,0.25,1.0,4.8193,95.56,Exps/Gabor_sweep_runs/CIKM_pixel_flow22.74_fhigh95.56,0.35005978764864076,10,0.34046154690925706,0.3758189202360008,0.4347649651321783,0.4382750419392369,34.459976,3.208242,5.545281,23.748191779583344,0.6032873646419802,0.04010303890778687,0.35821676,/home/vatsal/NWM/Baselines_Precipitation_Nowcasting/Exps/Gabor_sweep_runs/CIKM_pixel_flow22.74_fhigh95.56/checkpoints/ckpt-best.pt,/home/vatsal/NWM/Baselines_Precipitation_Nowcasting/Exps/Gabor_sweep_runs/CIKM_pixel_flow22.74_fhigh95.56/logs/log.log,Gabor sweep best run; parameter-budget reference. backbone DAWNCast_old == dawncast.py numerically (identical param count/shapes; only attr rename lastocast.*->dawncast.*). Peaks val CSI @ epoch 10.
meteo,MET-R1,planned,43082369,72.45,DAWNCast,8,4,1,db6,3,64,separate,5,20,50,0.1,1.0,0.0995,1.09,1.0,1.0,0.1643,1.12,Exps/Gabor_sweep_runs/Meteonet_pixel_flow1.09_fhigh1.12,,,,,,,,,,,,,,Exps/meteonet_param_reduction/MET-R1_nb8_hsf4/checkpoints/ckpt-best.pt,Exps/meteonet_param_reduction/MET-R1_nb8_hsf4/logs/log.log,planned; ratio hsf/nb=4/8
meteo,MET-R2,planned,34890369,58.67,DAWNCast,16,4,1,db6,3,64,separate,5,20,50,0.1,1.0,0.0995,1.09,1.0,1.0,0.1643,1.12,Exps/Gabor_sweep_runs/Meteonet_pixel_flow1.09_fhigh1.12,,,,,,,,,,,,,,Exps/meteonet_param_reduction/MET-R2_nb16_hsf4/checkpoints/ckpt-best.pt,Exps/meteonet_param_reduction/MET-R2_nb16_hsf4/logs/log.log,planned; ratio hsf/nb=4/16
meteo,MET-R3,planned,30768769,51.74,DAWNCast,16,2,1,db6,3,64,separate,5,20,50,0.1,1.0,0.0995,1.09,1.0,1.0,0.1643,1.12,Exps/Gabor_sweep_runs/Meteonet_pixel_flow1.09_fhigh1.12,,,,,,,,,,,,,,Exps/meteonet_param_reduction/MET-R3_nb16_hsf2/checkpoints/ckpt-best.pt,Exps/meteonet_param_reduction/MET-R3_nb16_hsf2/logs/log.log,planned; ratio hsf/nb=2/16
meteo,MET-R4,planned,28707969,48.28,DAWNCast,16,1,1,db6,3,64,separate,5,20,50,0.1,1.0,0.0995,1.09,1.0,1.0,0.1643,1.12,Exps/Gabor_sweep_runs/Meteonet_pixel_flow1.09_fhigh1.12,,,,,,,,,,,,,,Exps/meteonet_param_reduction/MET-R4_nb16_hsf1/checkpoints/ckpt-best.pt,Exps/meteonet_param_reduction/MET-R4_nb16_hsf1/logs/log.log,planned; ratio hsf/nb=1/16
meteo,MET-R5,planned,27171969,45.69,DAWNCast,64,1,1,db6,3,64,separate,5,20,50,0.1,1.0,0.0995,1.09,1.0,1.0,0.1643,1.12,Exps/Gabor_sweep_runs/Meteonet_pixel_flow1.09_fhigh1.12,,,,,,,,,,,,,,Exps/meteonet_param_reduction/MET-R5_nb64_hsf1/checkpoints/ckpt-best.pt,Exps/meteonet_param_reduction/MET-R5_nb64_hsf1/logs/log.log,planned; ratio hsf/nb=1/64
cikm,CIKM-R1,planned,11222149,73.26,DAWNCast,2,1,2,db4,7,64,separate,5,10,50,0.1,1.0,43.1034,22.74,0.25,1.0,4.8193,95.56,Exps/Gabor_sweep_runs/CIKM_pixel_flow22.74_fhigh95.56,,,,,,,,,,,,,,Exps/cikm_param_reduction/CIKM-R1_nb2_hsf1/checkpoints/ckpt-best.pt,Exps/cikm_param_reduction/CIKM-R1_nb2_hsf1/logs/log.log,planned; ratio hsf/nb=1/2
cikm,CIKM-R2,planned,9174149,59.89,DAWNCast,4,1,2,db4,7,64,separate,5,10,50,0.1,1.0,43.1034,22.74,0.25,1.0,4.8193,95.56,Exps/Gabor_sweep_runs/CIKM_pixel_flow22.74_fhigh95.56,,,,,,,,,,,,,,Exps/cikm_param_reduction/CIKM-R2_nb4_hsf1/checkpoints/ckpt-best.pt,Exps/cikm_param_reduction/CIKM-R2_nb4_hsf1/logs/log.log,planned; ratio hsf/nb=1/4
cikm,CIKM-R3,planned,8150149,53.21,DAWNCast,8,1,2,db4,7,64,separate,5,10,50,0.1,1.0,43.1034,22.74,0.25,1.0,4.8193,95.56,Exps/Gabor_sweep_runs/CIKM_pixel_flow22.74_fhigh95.56,,,,,,,,,,,,,,Exps/cikm_param_reduction/CIKM-R3_nb8_hsf1/checkpoints/ckpt-best.pt,Exps/cikm_param_reduction/CIKM-R3_nb8_hsf1/logs/log.log,planned; ratio hsf/nb=1/8
cikm,CIKM-R4,planned,7638149,49.86,DAWNCast,16,1,2,db4,7,64,separate,5,10,50,0.1,1.0,43.1034,22.74,0.25,1.0,4.8193,95.56,Exps/Gabor_sweep_runs/CIKM_pixel_flow22.74_fhigh95.56,,,,,,,,,,,,,,Exps/cikm_param_reduction/CIKM-R4_nb16_hsf1/checkpoints/ckpt-best.pt,Exps/cikm_param_reduction/CIKM-R4_nb16_hsf1/logs/log.log,planned; ratio hsf/nb=1/16
cikm,CIKM-R5,planned,7254149,47.36,DAWNCast,64,1,2,db4,7,64,separate,5,10,50,0.1,1.0,43.1034,22.74,0.25,1.0,4.8193,95.56,Exps/Gabor_sweep_runs/CIKM_pixel_flow22.74_fhigh95.56,,,,,,,,,,,,,,Exps/cikm_param_reduction/CIKM-R5_nb64_hsf1/checkpoints/ckpt-best.pt,Exps/cikm_param_reduction/CIKM-R5_nb64_hsf1/logs/log.log,planned; ratio hsf/nb=1/64
cikm,CIKM-K3,planned,9071749,59.22,DAWNCast,4,1,2,db4,3,64,separate,5,10,50,0.1,1.0,43.1034,22.74,0.25,1.0,4.8193,95.56,Exps/Gabor_sweep_runs/CIKM_pixel_flow22.74_fhigh95.56,,,,,,,,,,,,,,Exps/cikm_param_reduction/CIKM-K3_nb4_hsf1/checkpoints/ckpt-best.pt,Exps/cikm_param_reduction/CIKM-K3_nb4_hsf1/logs/log.log,planned; ratio hsf/nb=1/4
