run,epochs_trained,validations,best_val,best_at_epoch,headroom
alphapre_on_cikm,80,16,0.3155,10,70
alphapre_on_meteo,5,1,0.3647,5,0
alphapre_on_sevir,15,3,0.3533,10,5
alphapre_on_shanghai,80,16,0.4422,35,45
convlstm_on_cikm,80,16,0.2774,10,70
convlstm_on_meteo,50,10,0.4359,35,15
convlstm_on_sevir,30,6,0.3021,25,5
convlstm_on_shanghai,80,16,0.4275,55,25
earthfarseer_on_cikm,80,16,0.3086,55,25
earthfarseer_on_meteo,10,2,0.1349,10,0
earthfarseer_on_sevir,25,5,0.3088,20,5
earthfarseer_on_shanghai,80,16,0.3447,50,30
earthformer_on_sevir,30,6,0.3309,15,15
phydnet_on_cikm,80,16,0.3228,25,55
phydnet_on_meteo,15,3,0.4079,15,0
phydnet_on_sevir,30,6,0.3519,20,10
phydnet_on_shanghai,80,16,0.4182,35,45
trajgru_on_cikm,80,16,0.33,10,70
trajgru_on_shanghai,80,16,0.4183,30,50
earthformer_on_cikm,70,15,0.3414,35,35
mau_on_cikm,70,15,0.3237,20,50
simvp_on_cikm,70,15,0.3326,30,40
earthformer_on_meteonet,50,50,0.392,26,24
mau_on_meteo,50,50,0.4183,15,35
simvp_on_meteo,30,30,0.4405,22,8
Diffphydnet_sevir_Diffcast_on_sevir_facl,45,3,0.313,45,0
mau_on_sevir_facl,25,5,0.3392,15,10
phydnet_facl_on_sevir,25,9,0.3211,25,0
simvp_on_sevir,20,4,0.3602,15,5
trajgru_on_sevir,10,2,0.3704,10,0
trajgru_on_sevir_unscaled_paper,20,4,0.3613,15,5
earthformer_on_shanghai,70,15,0.4002,40,30
mau_on_shanghai,70,15,0.4218,15,55
simvp_on_shanghai,70,15,0.4343,30,40
