dataset,subband,n_paired_samples,AC_pixel_mean,AC_pixel_std,AC_latent_pool_mean,AC_latent_pool_std,AC_latent_meanC_mean,AC_latent_meanC_std,AC_pixel_latent_paired_r,LFE_pixel,LFE_latent_pool,HFE_pixel,HFE_latent_pool,slope_pixel,slope_latent_pool,PSD_shape_corr_r
CIKM,GT,200,0.9587163768386341,0.02346525014666092,0.561593724405925,0.27920492057765006,0.561593724405925,0.07194384155154375,0.6916407488421434,0.9992742823800222,0.9863007647149341,5.334654739215139e-05,0.0030960397032889133,-2.841956168056362,-1.6598420887905672,0.9830574541784315
CIKM,LL,200,0.938600771523125,0.03615714447482562,0.573034751769841,0.2045715590051099,0.573034751769841,0.07526610933212727,0.8035451345101765,0.997815781834419,0.9713611119342122,7.666217929719372e-05,0.0014765825536784943,-3.318423995039976,-1.8537860721169124,0.9903201205919349
CIKM,LH,200,0.22161401514245488,0.10890149186576102,0.16204119299078584,0.17486802705078958,0.16204119299078584,0.12765955363228998,0.8187604526089518,0.6098508812059413,0.39055485474220264,0.07702153517132246,0.16380255418204828,-0.7750368386457933,-0.34308951722353515,0.5443398182215504
CIKM,HL,200,0.23330574271005894,0.1045579353221877,0.08790561518300652,0.19992005715776484,0.08790561518300652,0.0888544994509648,0.9410027592004573,0.6412277035543351,0.34886723370262934,0.07010153416300029,0.19770411160470416,-0.8053410774656031,-0.12470107597398751,0.7078830052192235
CIKM,HH,200,-0.06442158293845825,0.03285331239547613,-0.04950635279615021,0.11791440861145555,-0.04950635279615021,0.03923152693352285,-0.013688235373626775,0.23124085812136969,0.2163669658077117,0.35444439931237753,0.3252680277410995,0.16521960521092247,0.1742560942014846,0.4391463371141451
Meteonet,GT,200,0.8947963856909769,0.06025931711390821,0.5624952379153367,0.21756479179529273,0.5624952379153367,0.12887148042517657,0.939648158370252,0.9948813098766209,0.9718901676393967,7.599626535905035e-05,0.006396930811914432,-3.331957149990706,-1.4736620834794842,0.9430463978162501
Meteonet,LL,200,0.7909958044533503,0.11266542542608585,0.5907916430700932,0.19295191510790025,0.5907916430700934,0.1147904122319857,0.8759001409238153,0.9842704927529558,0.9647178511837015,0.0009700119316231296,0.003843987291993871,-2.50467914972271,-1.7845265576739262,0.9915151089940825
Meteonet,LH,200,-0.13455973824741008,0.042260150008128765,-0.024524147211127695,0.07607423262278612,-0.024524147211127695,0.04122923364791022,0.2845836983987877,0.11035882102730207,0.21063751306871242,0.35863650998201974,0.2857164051322992,0.7048209359005313,0.18458886924437853,0.8106488106282198
Meteonet,HL,200,-0.158531047560382,0.03846065399089719,-0.028141521108463588,0.07321701522873299,-0.028141521108463595,0.04490261389369121,0.41838854947797377,0.0988122733936747,0.21378817512708662,0.3811931674018727,0.28481075557728835,0.8090789684952202,0.16930195107428087,0.788090432549826
Meteonet,HH,200,-0.4113841845639054,0.03373661753208788,-0.08787503611070197,0.0862004664552216,-0.08787503611070199,0.04709403418692263,-0.06763918546937564,0.039024671133654244,0.16841317938102607,0.7180568110024654,0.3657519654295859,1.3331749550301282,0.35981525903264894,0.7976076040270557
