num_blocks,hidden_size_factor,level,total_params,overage,overage_pct_of_budget
1,1,1,15141529,141529,0.9435
2,2,1,15147929,147929,0.9862
4,4,1,15160729,160729,1.0715
8,8,1,15186329,186329,1.2422
1,1,2,15215749,215749,1.4383
2,2,2,15222149,222149,1.481
4,4,2,15234949,234949,1.5663
8,8,2,15260549,260549,1.737
1,1,3,15289969,289969,1.9331
2,2,3,15296369,296369,1.9758
4,4,3,15309169,309169,2.0611
8,8,3,15334769,334769,2.2318
1,1,4,15364189,364189,2.4279
2,2,4,15370589,370589,2.4706
4,4,4,15383389,383389,2.5559
8,8,4,15408989,408989,2.7266
5,6,1,16811929,1811929,12.0795
5,6,2,16886149,1886149,12.5743
5,6,3,16960369,1960369,13.0691
5,6,4,17034589,2034589,13.5639
2,3,1,19250329,4250329,28.3355
4,6,1,19269529,4269529,28.4635
2,3,2,19324549,4324549,28.8303
4,6,2,19343749,4343749,28.9583
2,3,3,19398769,4398769,29.3251
4,6,3,19417969,4417969,29.4531
2,3,4,19472989,4472989,29.8199
4,6,4,19492189,4492189,29.9479
5,8,1,20101529,5101529,34.0102
5,8,2,20175749,5175749,34.505
5,8,3,20249969,5249969,34.9998
5,8,4,20324189,5324189,35.4946
1,2,1,23339929,8339929,55.5995
2,4,1,23352729,8352729,55.6849
4,8,1,23378329,8378329,55.8555
1,2,2,23414149,8414149,56.0943
2,4,2,23426949,8426949,56.1797
4,8,2,23452549,8452549,56.3503
1,2,3,23488369,8488369,56.5891
2,4,3,23501169,8501169,56.6745
4,8,3,23526769,8526769,56.8451
1,2,4,23562589,8562589,57.0839
2,4,4,23575389,8575389,57.1693
4,8,4,23600989,8600989,57.3399
1,3,1,31538329,16538329,110.2555
2,6,1,31557529,16557529,110.3835
1,3,2,31612549,16612549,110.7503
2,6,2,31631749,16631749,110.8783
1,3,3,31686769,16686769,111.2451
2,6,3,31705969,16705969,111.3731
1,3,4,31760989,16760989,111.7399
2,6,4,31780189,16780189,111.8679
1,4,1,39736729,24736729,164.9115
2,8,1,39762329,24762329,165.0822
1,4,2,39810949,24810949,165.4063
2,8,2,39836549,24836549,165.577
1,4,3,39885169,24885169,165.9011
2,8,3,39910769,24910769,166.0718
1,4,4,39959389,24959389,166.3959
2,8,4,39984989,24984989,166.5666
1,6,1,56133529,41133529,274.2235
1,6,2,56207749,41207749,274.7183
1,6,3,56281969,41281969,275.2131
1,6,4,56356189,41356189,275.7079
1,8,1,72530329,57530329,383.5355
1,8,2,72604549,57604549,384.0303
1,8,3,72678769,57678769,384.5251
1,8,4,72752989,57752989,385.0199
