dataset,freq_low,freq_high,CSI-M,CSI-35,CSI-40,CSI-pool-4x4,CSI-pool-16x16,HSS,MSE,MAE,RMSE,PSNR,SSIM,CRPS,LPIPS,source_file
shanghai,1.09,0.14,0.43454162603429813,0.3986350963456818,0.2773646338082497,0.4971101330489387,0.5631112076133848,0.5770943158155939,29.36933,1.7050745,5.0324435,25.75782008258106,0.81114192546476,0.01894527479252895,0.22949359,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
shanghai,1.09,0.42,0.4334435630825078,0.39668763745615293,0.2747431357885058,0.4961424981422976,0.5559639065861877,0.5757601941321779,29.730824,1.7242635,5.051169,25.744075454444726,0.8105585461015081,0.019158484493889637,0.23450157,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
shanghai,1.09,2.25,0.43197206316871734,0.3936588356387626,0.271523576510231,0.5034232210095739,0.5729788058229016,0.5740132916492351,30.730856,1.763449,5.137658,25.586940190905466,0.8097987584499681,0.019593875645505097,0.23587067,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
shanghai,1.09,4.43,0.43351056942905236,0.396498330388624,0.2744508227917124,0.49654049711150505,0.5568747983631336,0.5757833403937964,29.76209,1.7225521,5.050656,25.751205950194514,0.811246076042966,0.01913947233827936,0.23524609,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
shanghai,3.28,0.14,0.43413843975628186,0.39775153136109065,0.2758921000846192,0.49489831311102894,0.5540795756652993,0.5765689868544582,29.46867,1.7083862,5.030094,25.781278544808508,0.8119162211539953,0.018982069710468032,0.23600242,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
shanghai,3.28,0.42,0.4316832585036561,0.3950478710833346,0.2741376299219014,0.498165277100363,0.5696923402573939,0.5741026405963082,30.113,1.7409168,5.0960283,25.638620923575893,0.8078084132035352,0.019343517060268847,0.22952628,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
shanghai,3.28,1.13,0.4338200079231901,0.3983090093516448,0.2763977352616663,0.4919825907828604,0.5491006450650566,0.5764733168179087,28.775936,1.6811625,4.9883995,25.821947036640267,0.8119709161857106,0.01867958126283916,0.23258643,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
shanghai,3.28,2.25,0.4310501910260104,0.3928339860759382,0.27150995107305415,0.5012048367388093,0.5685373794214303,0.5731909135758424,30.518326,1.7530283,5.1229916,25.609984526995806,0.8107044986665912,0.01947809052839085,0.23851971,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
shanghai,3.28,4.43,0.4302251998178036,0.3918959948221844,0.2708383044748143,0.5026271216950929,0.5721103562982088,0.5723328022297036,30.96027,1.7719765,5.1595697,25.544650437926407,0.8092351554113637,0.01968862889619645,0.23682857,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
shanghai,8.74,0.14,0.32662967442428514,0.28648949218733843,0.17384523484138523,0.3902290503777773,0.439901408298212,0.4583234630996532,44.455986,2.1778407,6.3354673,23.502553581742237,0.7772951421243885,0.024198232479162855,0.31824997,Exps/gabor_exp_shanghai/amplinet_latent_falfcl_only_2_3_13_2_AFNO2D_relu_convparallelwaveletafnogabor_final_shanghai_lr_latent_32_seed0_db6_J3_separate/logs/log.log
